Station Id,Station,Précédent,Suivant,Temps entre 2 stations,Temps de Changement
1,Porte Maillot,,2,0,
2,Argentine,1,3,3,
3,Charles de Gaulle - Etoile,2,4,2,3
4,George V,3,5,3,
5,Franklin D. Roosevelt,4,6,2,
6,Champs-Elysées - Clemenceau,5,7,3,
7,Concorde,6,8,2,
8,Tuileries,7,9,4,
9,Palais Royal - Musée du Louvre,8,10,2,
10,Louvre - Rivoli,9,11,3,
11,Châtelet,10,12,2,
12,Hôtel de Ville,11,13,3,
13,Saint-Paul (Le Marais),12,14,2,
14,Bastille,13,15,4,
15,Gare de Lyon,14,16,2,
16,Reuilly - Diderot,15,17,2,
17,Nation,16,18,2,
18,Porte de Vincennes,17,19,2,
19,Château de Vincennes,18,,1,
20,Porte Dauphine,,21,0,
21,Victor Hugo,20,22,2,
22,Charles de Gaulle - Etoile,21,23,1,3
23,Ternes,22,24,2,
24,Courcelles,23,25,1,
25,Monceau,24,26,2,
26,Villiers,25,27,1,
27,Rome,26,28,3,
28,Place de Clichy,27,29,2,
29,Blanche,28,30,1,
30,Pigalle,29,31,2,
31,Anvers,30,32,3,
32,Barbès - Rochechouart,31,33,2,
33,La Chapelle,32,34,5,
34,Stalingrad,33,35,2,
35,Jaurès,34,36,2,
36,Colonel Fabien,35,37,2,
37,Belleville,36,38,2,
38,Couronnes,37,39,2,
39,Ménilmontant,38,40,1,
40,Père Lachaise,39,41,1,
41,Philippe Auguste,40,42,1,
42,Alexandre Dumas,41,43,2,
43,Avron,42,44,1,
44,Nation,43,,2,
